x,y,traffic
1905,1805,1351.721436
2218,1824,1351.118652
1336,1638,1349.626465
1156,1888,1348.516357
1378,2313,1338.517578
1379,2313,1338.517578
328,1673,1338.022827
1215,2030,1336.5448
1373,1176,1336.488647
713,455,1334.964722
77,628,1334.597656
1351,200,1334.077393
1372,1148,1331.113281
1483,1355,1324.077393
2264,1593,1322.910156
1661,1194,1316.27478
1153,2485,1316.211914
1274,2337,1310.00415
1317,493,1308.611938
692,855,1308.204346
1703,1524,1308.123901
1360,1555,1307.694702
889,1146,1306.965942
388,808,1303.979004
1162,1851,1300.477173
1032,1636,1300.154419
1377,2313,1299.727783
1775,1144,1299.414063
993,2083,1298.326294
1440,1459,1294.09668
1364,2488,1284.775513
2211,1324,1281.941162
1163,2418,1279.455933
370,1314,1279.250244
1317,2392,1277.531128
2219,1824,1277.224121
1485,1348,1275.169312
1485,1346,1273.363525
1030,1637,1272.697266
717,454,1265.889526
1759,2061,1265.544678
32,1746,1263.023926
1315,1367,1261.53833
1256,2402,1260.608154
1365,2475,1260.050903
391,778,1258.959351
889,1147,1254.917969
472,2357,1252.921753
1970,1726,1252.903198
147,1309,1252.757935
2352,1586,1250.673828
1107,67,1250.635132
1441,1457,1249.120605
342,2001,1244.669189
1690,1010,1243.975342
277,1813,1241.157837
861,2187,1239.747559
277,1815,1239.535889
1817,1351,1238.977417
712,455,1237.120605
440,1215,1231.831055
597,2261,1231
598,2261,1231
716,454,1229.203857
1572,1313,1221.376099
1582,1151,1216.412476
277,1812,1215.9646
35,582,1209.423584
772,551,1209.229858
1752,346,1208.418335
73,769,1208.006226
1215,1893,1207.388184
714,455,1205.693359
1537,1154,1198.9646
80,618,1197.588013
195,2192,1197.02771
1712,894,1190.835693
1132,1632,1190.400146
388,779,1187.704468
1312,2470,1187.102661
1161,1851,1186.799072
368,1499,1186.751465
1368,285,1183.084106
1626,2398,1181.161255
1834,1330,1180.232422
2027,605,1179.834351
1062,485,1177.745728
691,1172,1177.438721
566,1936,1176.400024
1569,1198,1176.326904
244,1494,1174.849854
34,2199,1173.990479
2405,2296,1167.248047
1817,1350,1166.92627
1829,2055,1165.657837
1484,1348,1165.207397
208,403,1162.982788
1711,1529,1162.692261
331,933,1161.123657
2483,1817,1160.746948
2217,1824,1158.255005
25,2199,1157.875732
669,2434,1155.304199
658,2480,1155.143799
972,1656,1154.22644
1567,1203,1152.445313
450,1976,1151.682983
486,738,1151.267456
1440,1456,1149.930908
1746,2415,1147.514526
759,2329,1145.402588
92,2289,1145.14917
390,1237,1144.339233
277,1811,1142.169678
1515,1379,1140.454346
207,401,1136.588257
1894,1808,1136.446411
1036,303,1135.308716
91,126,1133.516602
1835,977,1130.232178
1877,932,1127.444214
1310,2474,1126.61145
1712,1509,1125.710571
1484,1347,1122.462891
2268,1836,1119.64209
1712,901,1117.433228
209,402,1115.824463
2267,1836,1113.487793
407,623,1110.970459
276,2428,1110.691406
1748,1951,1109.14502
2215,1561,1107.856689
1436,1592,1105.137695
277,1808,1103.802246
343,1993,1103.535034
2224,1550,1102.074707
200,402,1098.89563
501,667,1098.166138
1187,1111,1092.744263
290,2415,1089.565674
452,1386,1088.133057
508,664,1087.369385
921,1151,1086.279541
2376,2285,1084.343384
1176,1071,1081.577271
862,2095,1078.651245
217,1950,1077.967163
1904,1804,1075.950806
24,2199,1074.03125
667,2434,1072.27832
1571,1203,1065.986694
585,1182,1065.55603
1841,978,1063.074219
826,552,1061.728027
471,2353,1060.371826
1614,1570,1054.078979
1232,1080,1049.065186
1768,2072,1049
343,2004,1048.744263
1712,892,1047.881592
898,460,1047.104736
1385,2489,1046.193115
1386,2489,1046.193115
511,748,1046.170532
1274,2336,1045.094116
1614,889,1044.161011
298,1778,1043.647217
1456,1237,1041.880371
277,1809,1041.572876
1813,1023,1039.5896
2083,1578,1038.947266
479,737,1038.394287
163,1318,1037.346313
36,590,1036.936646
2220,1824,1036.403564
994,2083,1036.311768
277,1816,1033.80603
1584,2108,1033.5
370,1497,1030.751221
2206,1591,1029.830078
2175,943,1029.348999
2193,92,1029.28479
383,1494,1025.692993
1380,1513,1025.166016
1057,27,1022.677551
1093,1682,1022.571411
568,738,1022.116882
1253,2404,1017.479736
928,1800,1016.772095
7,2452,1014.296753
710,455,1012.659668
148,1309,1008.364807
502,667,1007.659729
1312,2471,1007.565186
693,1148,1007.196167
717,455,1004.33252
343,2001,1003.839844
368,1987,1002.335815
207,1785,1000.848145
1627,2398,1000.473999
745,2324,999.700806
1506,1126,998.521606
752,2288,997.371338
231,2407,996.862061
1635,1358,995.567261
1612,2233,994.095642
996,2085,993.594604
1028,1633,993.158875
1398,594,992.910828
970,1655,991.876099
1154,1889,989.408813
169,1711,988.685425
390,783,987.548279
351,1576,987.169434
1665,858,986.856445
97,2284,986.022705
20,2199,985.200073
1904,1805,983.783142
1596,1273,982.898621
1007,1081,982.703064
1176,1066,982.548584
1611,2394,980.102234
36,582,979.643127
541,736,977.588379
2472,2266,973.419678
2270,1836,973.289001
318,2451,973.026855
672,2434,971.68042
512,747,971.186646
1319,1955,971
1093,1626,970.216675
1107,1123,970.180603
448,1976,967.024353
218,1778,966.839844
415,2051,965.68103
1839,1293,965.651978
1191,2408,965.531433
2221,1824,962.02301
200,1731,961.888794
866,935,960.908325
396,782,960.762817
1387,1495,958.05835
1124,736,957.616089
1628,1531,957.600464
388,778,957.248901
2216,1824,956.358704
278,1807,955.458374
1826,1330,954.93219
833,196,954.606567
1138,717,951.554626
441,1214,950.332886
1627,891,950.006104
995,2084,949.410461
1076,2380,945.892578
1245,1069,944.322754
983,1082,943.919067
1096,959,943.899231
692,1172,943.098206
1370,2331,942.682495
277,1810,942.48468
371,1497,941.898987
1351,2295,940.690674
459,1215,940.372131
2431,2243,940.246155
526,2180,939.415466
217,1791,939.397583
1808,637,939.08905
796,571,937.190918
389,1237,934.904358
575,2353,933.751709
499,75,932.635193
563,2141,930.592285
922,494,929.511841
162,1400,929.351563
2409,2296,929.265259
720,646,929.129395
502,2318,928.703918
1160,1851,926.705139
59,537,925.236816
1252,988,924.535767
2110,92,922.711731
324,932,922.547424
105,1886,922.277466
480,737,921.858337
382,1496,921.349365
1053,784,921.254333
1474,692,920.572266
405,623,920.225281
1626,891,918.52832
96,2283,916.786743
1672,1202,915.848083
1059,1072,915.628845
459,1214,914.549377
808,610,913.692261
1036,302,913.433899
1571,1312,913.397217
851,201,913.200623
1382,1127,912.363953
2223,1612,909.707703
4,2452,907.176819
139,1763,904.370667
709,455,904.247864
1627,2404,901.631104
922,1151,901.288696
819,564,901.26886
1575,1203,900.400024
2184,957,898.686584
814,610,898.421631
1,1814,896.836792
442,1009,896.353271
574,2353,896.278015
1318,2397,895.758911
1028,860,894.799072
35,588,893.693604
1311,2470,891.5
23,2199,891.18811
752,2431,890.874084
1747,2415,889.805542
354,1354,889.650574
1352,2448,887.658203
1408,1217,887.649902
85,2428,887.339355
2037,2285,886.501465
1589,1371,885.902283
835,956,885.552856
351,1574,885.038086
1383,257,884.209106
51,2452,883.406982
278,1808,881.812622
406,623,881.707642
884,1178,881.410034
208,402,880.869141
1006,1080,880.647156
10,1814,879.728699
2489,1566,879.249207
1624,2387,877.293701
1381,1127,875.966919
1834,976,875.42572
114,1152,875.412415
1671,1202,874.620667
709,875,874.571655
671,2434,873.354492
522,663,873.336853
1649,1316,872.804871
1456,1239,872.445068
120,212,870.810242
617,1093,869.638977
507,2320,869.523315
2496,2398,869.278015
1489,1587,869.208435
825,556,868.604553
1775,1141,867.822388
79,774,867.76123
1979,2166,865.667725
1514,1338,865.444275
2051,1562,865.039673
352,1354,861.883118
1383,256,861.169373
690,1172,860.858337
79,781,860.141113
747,2324,858.52417
586,847,858.167725
389,807,857.870422
1591,1489,857.853394
2020,862,857.325684
355,1355,857.065491
2014,1537,856.505493
472,2356,854.476929
354,1351,853.817078
300,1081,852.419495
1827,1024,851.652161
1367,165,850.807983
277,1806,850.409668
1408,1216,849.871338
1351,2448,849.671082
615,1208,846.711853
1158,1851,845.435425
1159,1851,845.435425
443,1219,844.726868
1694,269,843.903809
442,1008,843.11438
708,877,841.560608
65,1656,841.368164
1626,1526,841.174561
564,726,840.805054
882,780,840.322449
777,2378,838.518311
2210,1325,837.395325
151,1308,836.960449
567,1978,835.413025
2296,1613,834.845825
1575,2298,834.311157
1092,1682,834.000305
1028,861,833.914001
150,1309,833.24054
549,956,832.583374
2222,1824,832.466492
121,1712,831.914124
1146,1027,831.856812
390,809,831.717285
819,565,829.891113
1191,2407,829.746704
58,537,829.655151
248,1263,829.425354
604,777,828.618042
395,782,827.940308
2074,84,827.167847
672,2454,826.724243
1164,981,826.094116
36,589,826.050659
1168,1852,825.388184
671,2454,824.868408
359,1989,824.666626
665,2433,821.83374
2434,2253,821.714661
361,1435,820.967773
2246,1492,819.746765
1874,2208,818.970154
424,1257,818.775146
369,1986,818.071167
153,1308,817.229431
2354,1586,815.35791
749,2288,814.728455
108,123,814.433167
631,2434,814.379272
1569,1197,814.181274
1570,1197,814.181274
580,805,813.509155
2346,2236,813.315125
121,828,813.176331
505,2045,812.923828
1568,1197,812.606689
756,2357,812.229065
2333,1587,812.081177
1182,897,811.544495
1323,2183,811.274902
1139,720,811.139832
1383,1127,809.775574
120,827,809.418823
497,2006,809.292236
1459,223,808.976379
1692,1518,808.834351
1081,798,808.198425
2362,1600,806.690491
2171,1244,806.364014
93,2289,806.279663
562,1225,805.95929
1482,1346,803.783813
776,583,801.28656
382,1495,800.938293
464,1116,799.926025
977,1094,799.280029
1346,2450,798.735962
752,2432,798.63562
1538,1153,797.5
2189,2056,796.695557
2262,1594,796.69342
1156,1851,796.469666
94,2289,795.815552
1013,2472,795.38855
951,170,795.175232
216,2415,794.723267
2210,1322,794.667114
691,1148,794.575989
1366,2476,794.303833
461,955,793.071411
367,1260,791.121338
1775,1143,790.699158
2235,1489,790.471375
212,401,788.659424
1586,2378,788.127075
207,402,787.393311
1873,2208,787.22937
1685,1210,787.155945
2353,1586,785.026184
226,928,783.82135
833,2461,783.046082
837,956,782.389099
777,583,782.104248
1775,1128,781.749146
1075,2381,780.539795
1157,1851,780.534851
2370,1553,780.312561
335,1456,780.260254
639,2415,779.339111
1885,2441,779.153625
2325,1179,778.003174
1080,1587,775.50531
459,1216,774.529175
1895,1808,773.816467
1543,1149,773
2362,1818,771.402893
2213,1892,770.894165
1661,1175,769.411011
209,915,768.958252
1687,362,767.949951
1898,2417,767.871094
1898,2418,767.091125
563,2396,766.998901
1323,2182,766.47467
1814,1351,766.312256
76,1762,765.768127
1711,898,765.222534
1707,1529,765
368,1986,764.535156
1561,396,763.408691
2273,2314,762.990417
1086,874,762.979248
383,1496,762.59491
246,2390,761.854126
1655,1356,761.162964
367,1261,759.115356
390,909,757.775391
347,1354,757.485901
278,1810,757.464783
2222,2239,757.278809
2470,2407,757.138489
1785,1312,757.108521
574,657,754.167969
1850,2069,753.636841
85,2195,753.35437
383,2003,751.713013
2266,1836,751.597107
681,1267,751.369507
216,1788,750.561951
607,773,748.676086
677,1157,745.85553
2405,2380,745.533386
2496,2397,745.439331
2406,2379,744.812744
390,807,744.452637
1369,2331,743.404297
1037,302,743.221619
562,2142,743.105347
1904,1806,742.631226
1610,2395,742.562195
1751,347,742.495239
1318,2364,742.101685
241,2410,741.569824
429,951,741.411438
1323,1028,741.384583
388,780,740.053223
383,1495,739.466248
454,1152,739.299011
433,1623,738.875977
752,2327,737.811584
841,624,737.220215
1358,2424,736.930176
1625,2394,736.306396
1505,1026,735.31781
326,2452,735.216492
1673,1171,734.56134
618,1090,734.353638
1167,1852,734.294861
263,671,734.190002
2215,1560,733.458679
800,554,732.924683
1227,961,732.576965
148,1310,731.522461
1154,2382,731.231873
431,952,730.275024
1639,1666,730.192139
367,1262,729.876099
2349,1573,728.570313
1101,2404,728.341553
5,1814,727.965454
1840,1293,727.703674
2495,2211,727.459167
2410,2185,727.374207
1081,303,727.167908
521,982,726.033997
263,627,725.912109
984,792,725.484192
1106,1681,724.975281
709,876,724.829956
671,2455,724.331421
1155,1851,723.812683
1255,2315,721
1108,67,720.141968
2409,2364,719.710999
1100,910,719.098938
711,243,718.133362
545,747,717.612732
861,2093,717.465881
289,2421,716.949829
1345,160,716.090942
105,1634,716.082886
2148,132,716.030151
451,1219,715.38147
2290,1189,715.378784
2369,2220,714.629028
176,1485,714.446777
97,832,714.226929
206,401,714.139282
351,1436,714.05542
2084,13,713.091614
1672,1193,713.065613
1120,733,712.963074
709,1105,712.902771
464,1115,712.85022
2400,2295,712.521423
1935,2090,711.076416
753,2432,711.054932
1475,691,710.51062
565,1226,710.407471
723,583,709.979736
1876,359,709.684387
980,1094,709.194824
1368,2329,709.11145
278,1813,708.5271
1842,1330,708.227539
34,1760,708.168945
1324,733,707.952148
462,2279,707.081909
146,1310,706.131897
1576,1363,706.064087
1052,139,705.648071
1053,785,705.63208
1418,587,705.352966
2223,1824,704.980408
1390,1421,704.064575
440,2422,703.894165
177,1712,703.215637
383,1493,702.973877
352,1435,702.669006
2411,2265,699.860107
2495,2398,699.332092
420,2396,698.728516
2216,1793,698.027222
751,2288,697.533752
1146,929,697.471497
2406,1914,696.973633
1427,1705,696.950806
1452,1235,695.623169
1947,1368,694.634888
154,1309,693.924438
122,849,693.743042
1378,1556,693.513
1441,1456,693.434937
473,2358,693.394348
181,1657,693.2995
1745,2259,692.55249
1454,318,692.110901
152,1308,690.84436
272,1269,690.232117
836,956,690.223755
1476,691,690.208008
98,1147,689.480957
192,2191,689.30957
390,533,689.217346
753,2327,689.157654
368,1212,688.992065
277,629,688.458435
617,1096,688.224487
1932,1320,687.99231
1254,1869,687.989441
1902,2117,687.862793
206,402,687.849792
47,2483,687.376587
1822,1308,687.362793
1011,2490,686.867126
2224,1824,686.482849
2278,2449,686.335022
109,1363,686.316162
516,803,686.171082
1323,2184,686.060364
831,2481,685.278809
386,1649,684.418396
602,762,684.322632
1774,1143,683.950867
1971,1725,682.803223
235,2362,682.569275
508,2229,682.127319
284,772,681.67926
1509,1071,681.672974
321,2449,681.473572
277,1805,681.299194
1238,703,681.083557
390,811,680.557373
282,2465,680.426575
2401,2185,680.129822
1166,1852,679.942444
1639,1665,679.384216
1641,1200,679.112244
538,1230,678.39624
901,1147,678.375244
900,1147,678.348083
2234,1329,678.213989
2496,2214,677.67688
2443,2314,677.633606
367,1265,675.558289
827,2481,675.274963
278,1809,673.925354
460,956,673.890625
1876,933,673.502686
369,1269,671.407166
244,113,671.218323
855,681,671.167053
1713,891,670.763489
840,624,670.154236
355,1351,669.261414
341,1955,668.197266
200,1730,667.937317
835,196,667.801453
2003,1919,666.860962
674,75,666.43103
1119,402,666.275635
352,1353,665.97406
145,1361,665.856384
1148,929,665.486877
1691,1052,664.945618
355,1436,664.707458
136,584,664.697632
461,954,664.360291
2342,2485,663.757874
576,2407,663.460388
979,1094,662.978516
1406,1276,662.812622
69,1355,662.363464
2236,1823,662.305298
2380,2296,662.208862
854,681,662.05011
1881,2210,661.257813
269,1867,661.171265
1383,1497,660.923767
84,2426,660.70752
710,873,660.368591
683,1067,660.078247
1568,1202,660
1958,2149,659.678467
610,773,659.675842
247,1262,659.609009
2396,2296,659.577026
1635,2223,659
253,2482,658.841248
829,2481,658.596008
293,743,658.382446
580,804,657.717346
34,1746,657.62262
2005,1919,657.372742
610,957,657.250854
2440,2413,655.856445
354,1352,655.714355
2151,1351,655.673767
445,1411,654.989868
700,455,654.357849
2432,1498,654.322327
96,2289,654.257813
455,1152,653.765076
1165,1852,653.576965
278,1811,652.952881
64,589,652.857239
971,1655,652.685669
348,1356,652.412903
2263,1593,652.327454
146,1312,651.996704
368,1267,651.980896
354,1350,651.554871
2495,2396,651.419922
1393,990,651.359863
527,2265,651.230957
1449,11,650.670654
1835,1330,650.340881
507,664,649.288391
44,1619,648.496582
58,1360,647.550293
34,1761,647.447449
2211,1320,646.592773
1590,1371,646.533264
1611,1461,646.496216
2215,1563,646.478516
748,2325,646.351807
700,1123,645.954468
1965,2152,644.754883
256,1006,644
2216,1564,643.814453
1463,694,641.571899
1099,910,640.490051
488,668,639.44397
718,605,639.339844
1199,2326,638.998474
199,402,638.746826
301,996,638.170532
1775,1142,637.989868
1016,2480,637.484741
33,1670,636.927063
566,729,635.850403
7,1579,635.713989
347,1355,635.185486
757,1107,634.872803
1892,1808,634.584717
814,609,634.432922
2105,964,634.302979
799,1245,633.968018
603,763,633.662537
1350,2448,633.096741
115,1152,632.79364
2357,1364,632.31189
180,1711,632.207825
1028,862,631.943848
1613,1462,631.624817
480,2401,631.085938
1059,1077,631.063843
389,782,630.933289
948,1099,630.718872
670,2434,630.620056
149,1310,630.235779
1449,10,629.78894
270,919,629.619324
1164,1852,627.211609
1543,1148,627.126465
676,2434,626.449707
293,757,626.351685
1424,616,625.786682
163,1651,625.783325
595,803,625.594604
2246,1491,625.185181
2222,1552,625.140015
389,783,624.955627
35,583,624.656799
211,1579,623.700256
1688,1464,623.313477
506,2078,623.093994
1698,294,623.070374
985,799,622.185486
2328,1809,621.801147
557,940,621.600586
1173,338,621.527832
2155,2206,621.50708
701,455,621.306763
2051,1964,620.74585
1712,1510,620.157166
2459,2268,619.330566
1255,1869,619.102295
